	記号,一般,*,*,*,*,*
9	名詞,数,*,*,*,*,*
)	名詞,サ変接続,*,*,*,*,*
ハードウェア	名詞,一般,*,*,*,*,ハードウェア,ハードウェア,ハードウェア
及び	接続詞,*,*,*,*,*,及び,オヨビ,オヨビ
ソフトウェア	名詞,一般,*,*,*,*,ソフトウェア,ソフトウェア,ソフトウェア
の	助詞,連体化,*,*,*,*,の,ノ,ノ
運用	名詞,サ変接続,*,*,*,*,運用,ウンヨウ,ウンヨー
、	記号,読点,*,*,*,*,、,、,、
保守	名詞,サ変接続,*,*,*,*,保守,ホシュ,ホシュ
、	記号,読点,*,*,*,*,、,、,、
障害	名詞,一般,*,*,*,*,障害,ショウガイ,ショーガイ
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
迅速	名詞,形容動詞語幹,*,*,*,*,迅速,ジンソク,ジンソク
な	助動詞,*,*,*,特殊・ダ,体言接続,だ,ナ,ナ
修復	名詞,サ変接続,*,*,*,*,修復,シュウフク,シューフク
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
について	助詞,格助詞,連語,*,*,*,について,ニツイテ,ニツイテ
、	記号,読点,*,*,*,*,、,、,、
受	名詞,一般,*,*,*,*,*
注	名詞,一般,*,*,*,*,注,チュウ,チュー
者	名詞,接尾,一般,*,*,*,者,シャ,シャ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
支援	名詞,サ変接続,*,*,*,*,支援,シエン,シエン
体制	名詞,一般,*,*,*,*,体制,タイセイ,タイセイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
迅速	名詞,形容動詞語幹,*,*,*,*,迅速,ジンソク,ジンソク
かつ	接続詞,*,*,*,*,*,かつ,カツ,カツ
協力	名詞,サ変接続,*,*,*,*,協力,キョウリョク,キョーリョク
的	名詞,接尾,形容動詞語幹,*,*,*,的,テキ,テキ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
ある	助動詞,*,*,*,五段・ラ行アル,基本形,ある,アル,アル
